"KEGG"	"ED10"	"EN17"	"EN20"	"EOI15"	"EOI20"	"EOK10"	"EU8"	"LOK10"
"K13893"	119.022	94.057	17.691	71.267	74.754	35.807	86.268	58.308
"K13894"	104.157	67.263	14.051	66.844	55.727	30.321	65.087	49.152
"K13895"	100.729	67.697	12.34	61.591	54.101	25.793	61.092	44.803
"K13896"	126.559	40.597	6.499	27.792	24.787	23.9	53.839	37.697
"K13899"	0.997	0	0	0	0	0	0.057	0
"K13912"	1.901	1.377	0.601	3.355	1.12	0.934	2.162	2.011
"K13915"	0.18	0.177	0.117	0.181	0.202	0.125	0	0.077
"K13918"	0.245	0	0	0	1.269	0.108	0.158	0.63
"K13919"	1.019	0.73	0.058	1.163	0.271	0.332	0.377	0.424
"K13920"	6.703	2.283	0.294	5.167	2.079	0.883	1.771	1.454
"K13921"	0.125	0.102	0	0.325	0	0	0	0.027
"K13922"	2.179	4.616	2.167	5.096	5.178	1.629	3.326	5.479
"K13924"	396.338	543.312	116.793	201.216	176.838	194.356	324.713	200.156
"K13926"	49.716	41.119	6.832	47.222	17.46	28.914	33.766	16.703
"K13928"	0.715	0.767	0.289	0	0.128	0.391	0.788	0.296
"K13929"	5.446	4.933	2.212	5.179	4.288	5.34	7.284	0.294
"K13930"	1.359	1.361	0.146	0	0.93	1.004	2.057	0
"K13931"	2.015	1.462	0.246	0	1.515	2.95	2.603	0.046
"K13932"	7.834	2.734	0.684	0	0.863	2.511	3.888	0.233
"K13933"	3.65	1.345	0.311	0.266	0.974	1.568	2.395	0.049
"K13934"	0.757	0.91	0.379	0	0.663	1.549	1.562	0
"K13938"	0.217	2.166	0.282	9.627	5.14	2.541	7.141	3.581
"K13940"	10.118	0.938	0.669	1.132	0.383	0.739	0.728	0.631
"K13941"	0.152	1.072	0.044	0.281	0.384	0.565	0.162	1.399
"K13950"	44.46	6.44	0.861	1.477	1.013	5.219	4.593	1.984
"K13953"	138.749	71.679	12.296	121.42	77.281	49.002	64.221	158.251
"K13954"	13.763	27.731	5.448	28.713	22.018	15.058	19.203	29.547
"K13955"	28.241	5.797	1.087	4.541	4.254	5.109	8.723	9.952
"K13957"	0.133	0.078	0.045	0	0.329	0.244	0.248	0.323
"K13963"	14.797	34.014	10.638	65.6	31.347	18.059	29.827	32.909
"K13967"	0.896	0.193	0	0	0.189	0.066	0.177	0.283
"K13979"	57.889	24.817	7.217	16.665	12.676	24.06	28.009	5.772
"K13983"	1.593	0	0.053	0	0.027	0.26	0.084	0.024
"K13985"	85.383	53.93	17.122	72.389	51.603	36.38	58.927	60.031
"K13990"	22.537	57.659	26.122	116.593	69.845	39.559	60.352	50.541
"K13991"	27.612	3.903	1.517	0.525	0.209	2.614	3.862	0
"K13992"	14.235	3.483	0.645	1.064	0.71	2.583	4.506	2.411
"K13993"	239.116	316.147	87.161	260.479	167.396	161.692	218.898	244.223
"K13995"	38.261	13.889	2.619	13.266	12.2	8.807	12.281	30.969
"K14003"	0.041	0.061	0.075	0.189	0.107	0.066	0.31	0.558
"K14018"	0.047	0.289	0.036	0	0.267	0.084	0.311	1.239
"K14023"	0.114	0	0	0	0.256	0	0	0
"K14026"	0.378	1.232	0.065	0.69	1.2	0.091	0.775	2.312
"K14028"	1.642	1.983	0.542	0	1.152	1.703	1.833	1.314
"K14029"	0.147	0	0	0	0	0	0	0
"K14048"	9.085	2.022	0.335	1.216	0.392	0.421	1.571	1.789
"K14051"	7.52	13.112	1.893	0.527	6.297	2.547	5.644	8.126
"K14052"	11.803	3.536	0.922	1.756	0.781	1.502	2.461	0.04
"K14054"	26.401	3.494	1.177	9.269	6.602	2.851	7.478	8.998
"K14055"	11.679	47.938	5.812	64.311	42.652	18.952	42.423	77.648
"K14056"	16.099	12.046	3.81	19.753	10.609	6.697	16.653	15.265
"K14057"	9.058	1.293	0.405	1.334	0.081	1.174	1.373	0.399
"K14058"	128.198	103.604	30.003	128.915	68.657	57.971	91.394	42.846
"K14059"	85.311	51.895	11.739	106.179	47.43	28.374	36.499	66.116
"K14060"	19.375	18.641	7.757	14.905	7.586	7.452	19.76	8.914
"K14061"	3.618	2.664	0.593	9.42	5.463	1.892	5.789	24.952
"K14062"	0.074	0.342	0.057	0	0.105	0	1.006	0.05
"K14063"	1.787	0.512	0.343	1.05	0.138	0.194	0.608	0.239
"K14067"	9.39	2.644	0.531	2.171	5.127	1.062	3.736	6.733
"K14080"	5.619	14.059	3.378	40.648	25.79	9.883	10.482	35.82
"K14082"	0.493	0.795	0.258	1.755	0.536	0.497	0.236	0.379
"K14083"	390.468	205.816	46.497	837.148	381.917	140.091	209.421	565.07
"K14084"	1.265	4.007	0.95	23.687	9.985	4.852	3.911	11.93
